product_id,price_range,area,price_per_m2,number_of_bedrooms,number_of_bathrooms,number_of_stories,front_length,legal_status,isFurnished,old_address,post_type,isVerified
18480219,14.7,60.0,245.0,4.0,2.0,3.0,5.0,True,Cơ bản.,Tây Hồ,Tin thường,False
24116719,10.6,36.0,294.44,4.0,4.0,5.0,3.5,True,"Nội thất xịn: Sàn gỗ, tủ bếp gỗ, tiểu cảnh, trần thạch cao, điện nước đầy đủ...",Hà Đông,Tin thường,False
27274935,25.0,75.0,333.33,,,5.0,6.0,True,Đầy đủ,Ba Đình,Tin thường,False
27560524,36.0,86.0,418.6,,,5.0,5.0,True,Đầy đủ,Hoàn Kiếm,Tin thường,False
28181128,30.0,75.0,400.0,,,5.0,4.5,True,Đầy đủ,Hoàn Kiếm,Tin thường,False
28227856,5.85,50.0,117.0,4.0,3.0,4.0,4.0,True,,Thanh Trì,Tin thường,False
28246763,5.85,53.0,110.38,4.0,3.0,4.0,3.5,True,,Thanh Trì,Tin thường,False
28246878,5.35,40.0,133.75,4.0,3.0,4.0,4.0,True,,Thanh Trì,Tin thường,False
28973665,18.0,47.0,382.98,,,1.0,3.88,True,,Hoàn Kiếm,Tin thường,False
28983791,7.0,60.0,116.67,4.0,3.0,5.0,5.0,True,Đầy đủ.,Thanh Trì,Tin thường,False
29640981,20.0,55.0,363.64,,,6.0,5.0,True,Đầy đủ,Tây Hồ,Tin thường,False
30219014,5.65,45.0,125.56,4.0,3.0,4.0,4.0,True,Đầy đủ,Thanh Trì,Tin thường,False
30582002,35.0,110.0,318.18,,,4.0,7.0,True,Đầy đủ,Tây Hồ,Tin thường,False
30597240,28.5,65.0,438.46,,,5.0,4.5,True,Đầy đủ,Ba Đình,Tin thường,False
30895922,33.5,85.0,394.12,,,5.0,6.0,True,Đầy đủ,Cầu Giấy,Tin thường,False
30932011,25.0,55.0,454.54,,,6.0,5.0,True,Đầy đủ,Ba Đình,Tin thường,False
31217679,43.5,95.0,457.9,,,6.0,4.5,True,Đầy đủ.,Hoàn Kiếm,Tin thường,False
31326376,33.0,85.0,388.24,,,7.0,5.0,True,Đầy đủ,Cầu Giấy,Tin thường,False
31567884,42.5,90.0,472.22,,,5.0,5.0,True,Đầy đủ.,Hoàn Kiếm,Tin thường,False
31598251,25.0,70.0,357.14,,,4.0,,True,Đầy đủ,Ba Đình,Tin thường,False
31760115,30.0,80.0,375.0,,,7.0,7.0,True,Đầy đủ,Tây Hồ,Tin thường,False
31918991,25.0,65.0,384.62,,,5.0,4.5,True,Đầy đủ,Ba Đình,Tin thường,False
31993376,6.15,45.0,136.67,4.0,3.0,4.0,3.5,True,,Thanh Trì,Tin thường,False
32218331,22.0,55.0,400.0,,,5.0,5.0,True,Đầy đủ,Ba Đình,Tin thường,False
32541826,29.5,75.0,393.33,,,6.0,6.0,True,Đầy đủ,Ba Đình,Tin thường,False
32694519,12.5,41.0,304.88,6.0,5.0,7.0,4.0,True,Cơ bản,Hoài Đức,Tin thường,False
33042482,24.0,60.0,400.0,,,5.0,5.0,True,Đầy đủ,Cầu Giấy,Tin thường,False
33042774,22.0,55.0,400.0,,,6.0,4.5,True,,Cầu Giấy,Tin thường,False
33091792,26.3,75.0,350.67,,,4.0,6.0,True,Đầy đủ,Tây Hồ,Tin thường,False
33143831,26.0,55.0,472.73,,,8.0,5.0,True,Đầy đủ,Ba Đình,Tin thường,False
33491088,19.0,50.0,380.0,,,4.0,4.0,True,,Hoàn Kiếm,Tin thường,False
33529793,17.0,40.0,425.0,6.0,4.0,5.0,4.0,True,,Cầu Giấy,Tin thường,False
33545817,16.0,50.0,320.0,6.0,4.0,5.0,4.5,True,,Cầu Giấy,Tin thường,False
33557926,23.0,65.0,353.85,,,4.0,5.0,True,Đầy đủ,Tây Hồ,Tin thường,False
